12 11 14 17 16,a
10 13 14 15 18,b
10 13 16 17 18,c
12 11 10 13 14 15 18 17 16,d
12 11 10 14 18 17 16,p
10 13 16 17 18 15 12,e
10 11 12 14 16 17 18,f
12 14 15 17,g
10 11 12 14 16,l
10 14 13 11,h
16 13 10 11 12 14 18,i
12 11 10 13 16 17 18,m
10 13 16 14 12 15 18,j
12 11 10 13 16 17 18 15 14,o
16 13 10 14 18 15 12,k
18 17 16 13 10 11 12 15 18,t
16 14 12 11 10,s
10 11 12 15 18 17 16,n
10 13 17 15 12,w
16 13 10 11 12 15 14,y
10 13 16 14 18 15 12,q
16 13 10 11 12 15 14,v
16 14 12 11 10,u
10 13 11 14 10,x
