3 2 5 8 7,10 13 14 15 18,a,b
1 4 7 8 9,12 11 10 13 14 15 18 17 16,c,d
3 2 1 5 9 8 7,10 13 16 17 18 15 12,p,e
1 2 3 5 7 8 9, 12 14 15 17,f,g
1 2 3 5 7,10 14 13 11,l,h
7 4 1 2 3 5 9,12 11 10 13 16 17 18,i,m
1 4 7 5 3 6 9,12 11 10 13 16 17 18 15 14,j,o
16 13 10 14 18 15 12,9 8 7 4 1 2 3 6 5,k,t
16 14 12 11 10,7 4 1 5 3 6 9,l,s
1 2 3 6 9 8 7,10 13 17 15 12,n,w
7 4 1 2 3 6 5,8,10 13 16 14 18 15 12,y,q
7 4 1 2 3 6 9,12 11 10 13 16 17 18,v,m
16 14 12 11 10,7 4 1 2 3 6 9 8 5,u,l
1 2 3 6 9 8 7,10 13 11 14 10,n,x
